#separator:tab
#html:false
#columns:짝	용어A	정의A	상세A	사례A	용어B	정의B	상세B	사례B	함정	위치	태그
배치 다이어그램 vs 패키지 다이어그램	배치 다이어그램	결과물·프로세스·컴포넌트의 물리적 배치를 표현하는 구조적 다이어그램	노드(Node)와 통신 경로를 그려 하드웨어 배치를 보여 준다. 물리라는 단어가 핵심이다.	「웹서버 2대 — WAS 4대 — DB 이중화」처럼 실제 장비 배치를 그린다.	패키지 다이어그램	유스케이스·클래스 등의 모델 요소를 그룹화한 패키지 간 의존 관계를 표현	구조적 다이어그램에 속한다. 시스템의 논리적 구조 단위를 보여 준다.	com.shop.order 와 com.shop.pay 패키지가 서로 어떻게 의존하는지 그린다.	물리적 배치 = 배치 다이어그램. | 구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_혼동짝 과목1
배치 다이어그램 vs 컴포넌트 다이어그램	배치 다이어그램	결과물·프로세스·컴포넌트의 물리적 배치를 표현하는 구조적 다이어그램	노드(Node)와 통신 경로를 그려 하드웨어 배치를 보여 준다. 물리라는 단어가 핵심이다.	「웹서버 2대 — WAS 4대 — DB 이중화」처럼 실제 장비 배치를 그린다.	컴포넌트 다이어그램	실제 구현 모듈인 컴포넌트 간의 구성과 의존 관계를 표현한 구조적 다이어그램	구현 단계에서 사용한다. 물리적 배치는 배치 다이어그램이다.	결제 모듈 jar 가 인증 모듈 jar 에 의존하는 구조를 그린다.	물리적 배치 = 배치 다이어그램. | 구조 다이어그램 6종 나열형.	1-3 UML (1과목)	유형_혼동짝 과목1
스테레오타입 vs 확장 관계	스테레오타입	UML에서 기본 요소 외의 새로운 요소를 표현하기 위해 겹화살괄호로 표기하는 확장 표기	>, >, >, > 처럼 쓴다. 길러멧(Guillemet) 기호라고도 한다.	> PaymentGateway 처럼 겹화살괄호로 요소의 성격을 덧붙인다.	확장 관계	유스케이스가 특정 조건에서 다른 유스케이스의 기능을 확장하는 관계	> 스테레오타입으로 표기한다. 포함 관계는 >로 항상 실행되는 공통 기능이다.	「주문하기」에 조건부로 「쿠폰 적용하기」가 붙으면 >다.	겹화살괄호 기호의 이름을 묻는다. | include와 extend의 조건 여부를 바꿔 낸다.	1-3 UML (1과목)	유형_혼동짝 과목1
액터 vs 확장 관계	액터	유스케이스 다이어그램에서 시스템과 상호작용하는 모든 외부 요소	사람뿐 아니라 외부 시스템·장치도 액터가 될 수 있다. 주 액터(사용자)와 부 액터(외부 시스템)로 나눈다.	주문 유스케이스의 액터는 「회원」뿐 아니라 외부 「PG사 시스템」도 된다.	확장 관계	유스케이스가 특정 조건에서 다른 유스케이스의 기능을 확장하는 관계	> 스테레오타입으로 표기한다. 포함 관계는 >로 항상 실행되는 공통 기능이다.	「주문하기」에 조건부로 「쿠폰 적용하기」가 붙으면 >다.	액터가 사람만이라는 문장이 오답이다. | include와 extend의 조건 여부를 바꿔 낸다.	1-3 UML (1과목)	유형_혼동짝 과목1
린 vs 애자일	린	도요타 생산 방식에서 유래해 낭비 제거와 흐름 최적화를 추구하는 애자일 방법론	7가지 원칙은 낭비 제거, 품질 내재화, 지식 창출, 늦은 확정, 빠른 인도, 사람 존중, 전체 최적화다.	재고와 대기 시간처럼 「가치를 만들지 않는 것」을 걷어내며 흐름을 매끈하게 만든다.	애자일	변화에 유연하게 대응하며 고객과 협력해 점진적으로 개발하는 방법론군	선언문 4가지 가치는 프로세스·도구보다 개인과 상호작용, 문서보다 실행되는 소프트웨어, 계약 협상보다 고객과의 협력, 계획 준수보다 변화에 대응하기다.	2주마다 쓸 수 있는 기능을 내놓고 고객 반응을 보며 다음 2주를 다시 정한다.	애자일 방법론 종류 나열형. | 4가지 가치의 좌우를 뒤바꿔 낸다. 문서보다 소프트웨어가 맞다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
XP vs 스크럼	XP	짧은 개발 주기를 반복하며 고객 참여와 소통을 극대화하는 애자일 방법론	5가지 핵심 가치는 용기, 단순성, 의사소통, 피드백, 존중이다. 1~3주 단위 릴리즈로 자주 배포한다.	짝 프로그래밍과 테스트 우선 작성을 규칙으로 삼고 1~2주마다 릴리즈한다.	스크럼	팀이 스프린트 단위로 목표를 정해 반복 개발하는 애자일 방법론	역할은 제품 책임자(PO), 스크럼 마스터, 개발팀이다. 산출물은 제품 백로그, 스프린트 백로그, 소멸 차트다.	매일 아침 15분 서서 「어제 한 일·오늘 할 일·막힌 것」을 공유한다.	5가지 가치와 12개 실천 항목을 나열형으로 낸다. | 역할 3종과 산출물을 바꿔 낸다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
XP vs 페어 프로그래밍	XP	짧은 개발 주기를 반복하며 고객 참여와 소통을 극대화하는 애자일 방법론	5가지 핵심 가치는 용기, 단순성, 의사소통, 피드백, 존중이다. 1~3주 단위 릴리즈로 자주 배포한다.	짝 프로그래밍과 테스트 우선 작성을 규칙으로 삼고 1~2주마다 릴리즈한다.	페어 프로그래밍	두 명이 한 컴퓨터에서 함께 코딩하며 서로 확인하는 XP 실천 항목	한 명이 코드를 쓰고 다른 한 명이 검토한다. 코드 품질과 지식 공유가 목적이다.	주니어와 시니어가 한 화면에서 번갈아 타이핑하며 리뷰를 실시간으로 한다.	5가지 가치와 12개 실천 항목을 나열형으로 낸다. | XP 실천 항목 나열형.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
XP vs 테스트 주도 개발	XP	짧은 개발 주기를 반복하며 고객 참여와 소통을 극대화하는 애자일 방법론	5가지 핵심 가치는 용기, 단순성, 의사소통, 피드백, 존중이다. 1~3주 단위 릴리즈로 자주 배포한다.	짝 프로그래밍과 테스트 우선 작성을 규칙으로 삼고 1~2주마다 릴리즈한다.	테스트 주도 개발	실제 코드보다 테스트 케이스를 먼저 작성하는 개발 방식	실패하는 테스트 작성 → 통과할 최소 코드 작성 → 리팩토링 순으로 반복한다. XP의 실천 항목이다.	「할인 10% 적용」 테스트를 먼저 실패하게 짜고, 통과할 최소 코드를 쓴 뒤 정리한다.	5가지 가치와 12개 실천 항목을 나열형으로 낸다. | 테스트를 먼저 작성한다는 순서를 묻는다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
리팩토링 vs 테스트 주도 개발	리팩토링	외부 동작은 바꾸지 않고 내부 구조를 개선해 이해와 수정을 쉽게 하는 활동	기능 추가가 아니라 구조 개선이 목적이다. 재공학의 재구성(Restructuring)과 같은 성격이다.	300줄 메서드를 기능별로 쪼개되 겉으로 보이는 동작은 하나도 바꾸지 않는다.	테스트 주도 개발	실제 코드보다 테스트 케이스를 먼저 작성하는 개발 방식	실패하는 테스트 작성 → 통과할 최소 코드 작성 → 리팩토링 순으로 반복한다. XP의 실천 항목이다.	「할인 10% 적용」 테스트를 먼저 실패하게 짜고, 통과할 최소 코드를 쓴 뒤 정리한다.	기능 변경 없음이라는 전제를 묻는다. | 테스트를 먼저 작성한다는 순서를 묻는다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
리팩토링 vs 재구성	리팩토링	외부 동작은 바꾸지 않고 내부 구조를 개선해 이해와 수정을 쉽게 하는 활동	기능 추가가 아니라 구조 개선이 목적이다. 재공학의 재구성(Restructuring)과 같은 성격이다.	300줄 메서드를 기능별로 쪼개되 겉으로 보이는 동작은 하나도 바꾸지 않는다.	재구성	기능과 외적 동작은 그대로 두고 소스 코드 수준의 품질을 개선하는 재공학 활동	리팩토링과 성격이 같다. 환경을 옮기는 것은 이식이므로 다르다.	동작은 그대로 두고 800줄 함수를 쪼개 가독성만 올린다.	기능 변경 없음이라는 전제를 묻는다. | 환경 이동을 재구성으로 잘못 연결하는 함정이 있다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
스크럼 vs 스프린트	스크럼	팀이 스프린트 단위로 목표를 정해 반복 개발하는 애자일 방법론	역할은 제품 책임자(PO), 스크럼 마스터, 개발팀이다. 산출물은 제품 백로그, 스프린트 백로그, 소멸 차트다.	매일 아침 15분 서서 「어제 한 일·오늘 할 일·막힌 것」을 공유한다.	스프린트	스크럼에서 실제 개발을 수행하는 2~4주의 반복 주기	스프린트 계획 회의로 시작하고, 일일 스크럼 회의로 진행 상황을 공유하며, 스프린트 검토·회고로 마감한다.	2주를 한 덩어리로 잡아 계획 회의로 열고 회고로 닫는다.	역할 3종과 산출물을 바꿔 낸다. | 기간과 회의 종류를 묻는다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
소멸 차트 vs 스크럼	소멸 차트	남은 작업량을 시간에 따라 그려 진행 상황을 보여 주는 스크럼 산출물	번다운 차트라고 한다. 남은 일이 줄어드는 그래프여서 아래로 내려간다.	스프린트 10일 동안 남은 작업이 100 → 0으로 내려가는 그래프.	스크럼	팀이 스프린트 단위로 목표를 정해 반복 개발하는 애자일 방법론	역할은 제품 책임자(PO), 스크럼 마스터, 개발팀이다. 산출물은 제품 백로그, 스프린트 백로그, 소멸 차트다.	매일 아침 15분 서서 「어제 한 일·오늘 할 일·막힌 것」을 공유한다.	스크럼 산출물 나열형. | 역할 3종과 산출물을 바꿔 낸다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
스프린트 백로그 vs 제품 백로그	스프린트 백로그	이번 스프린트에서 수행할 작업 목록	제품 백로그에서 우선순위가 높은 항목을 뽑아 세부 작업으로 분해한 것이다. 개발팀이 관리한다.	제품 백로그에서 이번 2주에 할 것만 뽑아 시간 단위 작업으로 쪼갠 목록 — 개발팀이 관리한다.	제품 백로그	제품에 요구되는 모든 기능·개선사항을 우선순위대로 나열한 목록	제품 책임자가 관리한다. 여기서 이번 스프린트 분량을 뽑아낸 것이 스프린트 백로그다.	「소셜 로그인」, 「장바구니 저장」을 우선순위대로 줄 세운 목록 — PO가 관리한다.	제품 백로그와 관리 주체를 바꿔 낸다. | 백로그 관리 주체를 묻는다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
사용자 스토리 vs 제품 백로그	사용자 스토리	사용자 관점에서 요구 기능을 짧은 문장으로 서술한 요구사항 단위	누가, 무엇을, 왜 형식으로 적는다. 제품 백로그의 항목이 된다.	「회원으로서 주문 내역을 보고 싶다, 재구매하기 위해」 형식으로 요구를 적는다.	제품 백로그	제품에 요구되는 모든 기능·개선사항을 우선순위대로 나열한 목록	제품 책임자가 관리한다. 여기서 이번 스프린트 분량을 뽑아낸 것이 스프린트 백로그다.	「소셜 로그인」, 「장바구니 저장」을 우선순위대로 줄 세운 목록 — PO가 관리한다.	애자일 산출물 나열형. | 백로그 관리 주체를 묻는다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
간트 차트 vs 소멸 차트	간트 차트	작업 일정을 막대 그래프로 표현한 일정 계획 도구	시간선 차트라고도 한다. 자원 배치와 일정을 함께 표현한다. 작업 간 의존 관계는 표현하기 어렵다.	MS Project 의 막대 그래프 — 누가 언제 무엇을 하는지 한눈에 본다.	소멸 차트	남은 작업량을 시간에 따라 그려 진행 상황을 보여 주는 스크럼 산출물	번다운 차트라고 한다. 남은 일이 줄어드는 그래프여서 아래로 내려간다.	스프린트 10일 동안 남은 작업이 100 → 0으로 내려가는 그래프.	막대 그래프 = 간트 차트. | 스크럼 산출물 나열형.	5-3 비용 산정 · 일정 관리 (5과목)	유형_혼동짝 과목5
린 vs 칸반	린	도요타 생산 방식에서 유래해 낭비 제거와 흐름 최적화를 추구하는 애자일 방법론	7가지 원칙은 낭비 제거, 품질 내재화, 지식 창출, 늦은 확정, 빠른 인도, 사람 존중, 전체 최적화다.	재고와 대기 시간처럼 「가치를 만들지 않는 것」을 걷어내며 흐름을 매끈하게 만든다.	칸반	작업을 카드로 시각화하고 진행 중 작업 수를 제한해 흐름을 최적화하는 방법	린 방식에서 유래했다. 스크럼과 달리 고정된 스프린트 주기가 없다.	To Do / In Progress / Done 보드에 카드를 붙이고 In Progress 는 3장까지만 허용한다.	애자일 방법론 종류 나열형. | 애자일 방법론 종류 나열형.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
사용자 스토리 vs 스프린트 백로그	사용자 스토리	사용자 관점에서 요구 기능을 짧은 문장으로 서술한 요구사항 단위	누가, 무엇을, 왜 형식으로 적는다. 제품 백로그의 항목이 된다.	「회원으로서 주문 내역을 보고 싶다, 재구매하기 위해」 형식으로 요구를 적는다.	스프린트 백로그	이번 스프린트에서 수행할 작업 목록	제품 백로그에서 우선순위가 높은 항목을 뽑아 세부 작업으로 분해한 것이다. 개발팀이 관리한다.	제품 백로그에서 이번 2주에 할 것만 뽑아 시간 단위 작업으로 쪼갠 목록 — 개발팀이 관리한다.	애자일 산출물 나열형. | 제품 백로그와 관리 주체를 바꿔 낸다.	1-4 애자일 방법론 (1과목)	유형_혼동짝 과목1
자료 사전 vs 자료 흐름도	자료 사전	자료 흐름도에 나타난 자료를 정의하고 기록한 사전	기호는 = 정의, + 연결(and), () 생략, {} 반복, [|] 선택, ** 주석이다. 이 기호 대응이 그대로 출제된다.	주문 = 주문번호 + 회원번호 + {주문상세} + [카드|계좌] 처럼 자료를 정의한다.	자료 흐름도	자료가 시스템 내부를 흐르며 어떻게 변환되는지 그림으로 표현한 모델	구성 요소는 프로세스(원), 자료 흐름(화살표), 자료 저장소(평행선), 단말(사각형)이다. 버블 차트라고도 한다.	「주문서 → (주문처리) → 주문DB」처럼 자료가 어디서 어떻게 변하는지 그린다.	기호와 의미를 바꿔 낸다. {}는 반복, []는 선택. | 네 가지 구성 요소와 기호를 바꿔 낸다. 프로세스는 원이다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_혼동짝 과목1
