#separator:tab
#html:false
#columns:용어	영문	한줄정의	상세설명	사례	고리	혼동용어	출제형태	위치	태그
페어 프로그래밍	Pair Programming	두 명이 한 컴퓨터에서 함께 코딩하며 서로 확인하는 XP 실천 항목	한 명이 코드를 쓰고 다른 한 명이 검토한다. 코드 품질과 지식 공유가 목적이다.	주니어와 시니어가 한 화면에서 번갈아 타이핑하며 리뷰를 실시간으로 한다.	둘이 한 키보드 — 리뷰가 코딩과 동시에.	XP / 테스트 주도 개발 / 동료 검토	XP 실천 항목 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
테스트 주도 개발	Test Driven Development, TDD	실제 코드보다 테스트 케이스를 먼저 작성하는 개발 방식	실패하는 테스트 작성 → 통과할 최소 코드 작성 → 리팩토링 순으로 반복한다. XP의 실천 항목이다.	「할인 10% 적용」 테스트를 먼저 실패하게 짜고, 통과할 최소 코드를 쓴 뒤 정리한다.	실패 → 통과 → 리팩토링. 테스트가 먼저다.	리팩토링 / XP / 단위 테스트	테스트를 먼저 작성한다는 순서를 묻는다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
리팩토링	Refactoring	외부 동작은 바꾸지 않고 내부 구조를 개선해 이해와 수정을 쉽게 하는 활동	기능 추가가 아니라 구조 개선이 목적이다. 재공학의 재구성(Restructuring)과 같은 성격이다.	300줄 메서드를 기능별로 쪼개되 겉으로 보이는 동작은 하나도 바꾸지 않는다.	겉은 그대로, 속만 정리.	재구성 / 테스트 주도 개발 / 역공학	기능 변경 없음이라는 전제를 묻는다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
스크럼	Scrum	팀이 스프린트 단위로 목표를 정해 반복 개발하는 애자일 방법론	역할은 제품 책임자(PO), 스크럼 마스터, 개발팀이다. 산출물은 제품 백로그, 스프린트 백로그, 소멸 차트다.	매일 아침 15분 서서 「어제 한 일·오늘 할 일·막힌 것」을 공유한다.	PO·스크럼마스터·개발팀 3역할.	XP / 스프린트 / 소멸 차트 / 제품 백로그	역할 3종과 산출물을 바꿔 낸다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
스프린트	Sprint	스크럼에서 실제 개발을 수행하는 2~4주의 반복 주기	스프린트 계획 회의로 시작하고, 일일 스크럼 회의로 진행 상황을 공유하며, 스프린트 검토·회고로 마감한다.	2주를 한 덩어리로 잡아 계획 회의로 열고 회고로 닫는다.	달리기 한 구간(Sprint). 중간에 목표를 바꾸지 않는다.	스크럼 / 제품 백로그	기간과 회의 종류를 묻는다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
제품 백로그	Product Backlog	제품에 요구되는 모든 기능·개선사항을 우선순위대로 나열한 목록	제품 책임자가 관리한다. 여기서 이번 스프린트 분량을 뽑아낸 것이 스프린트 백로그다.	「소셜 로그인」, 「장바구니 저장」을 우선순위대로 줄 세운 목록 — PO가 관리한다.	제품 전체 할 일 목록. 관리자는 PO.	스프린트 백로그 / 사용자 스토리	백로그 관리 주체를 묻는다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
소멸 차트	Burn-down Chart	남은 작업량을 시간에 따라 그려 진행 상황을 보여 주는 스크럼 산출물	번다운 차트라고 한다. 남은 일이 줄어드는 그래프여서 아래로 내려간다.	스프린트 10일 동안 남은 작업이 100 → 0으로 내려가는 그래프.	Burn-down — 타서 없어지듯 내려간다.	스크럼 / 간트 차트	스크럼 산출물 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
린	Lean	도요타 생산 방식에서 유래해 낭비 제거와 흐름 최적화를 추구하는 애자일 방법론	7가지 원칙은 낭비 제거, 품질 내재화, 지식 창출, 늦은 확정, 빠른 인도, 사람 존중, 전체 최적화다.	재고와 대기 시간처럼 「가치를 만들지 않는 것」을 걷어내며 흐름을 매끈하게 만든다.	도요타에서 왔다 — 낭비 제거가 1번.	애자일 / 칸반	애자일 방법론 종류 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
기능 중심 개발	Feature Driven Development, FDD	기능(Feature) 단위로 계획하고 설계·구현을 반복하는 애자일 방법론	전체 모델 개발 → 기능 목록 작성 → 기능별 계획·설계·구현 순으로 진행한다.	「로그인」, 「결제」처럼 기능 목록을 만들고 기능 하나씩 설계·구현을 반복한다.	Feature 단위로 쪼개 돌린다.	애자일 / 스크럼	방법론 종류 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
크리스탈	Crystal	프로젝트 규모와 중요도에 따라 방법론의 무게를 달리 적용하는 애자일 방법론군	팀 규모·중요도로 색(Clear, Yellow, Orange, Red)을 나눈다. 사람 중심을 강조한다.	2명짜리 사내 도구는 가볍게(Clear), 100명짜리 금융 시스템은 무겁게(Red) 적용한다.	프로젝트 크기에 따라 색이 달라지는 방법론.	애자일 / 테일러링	방법론 종류 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
스프린트 백로그	Sprint Backlog	이번 스프린트에서 수행할 작업 목록	제품 백로그에서 우선순위가 높은 항목을 뽑아 세부 작업으로 분해한 것이다. 개발팀이 관리한다.	제품 백로그에서 이번 2주에 할 것만 뽑아 시간 단위 작업으로 쪼갠 목록 — 개발팀이 관리한다.	제품 백로그는 PO, 스프린트 백로그는 개발팀.	제품 백로그 / 스프린트 / 사용자 스토리	제품 백로그와 관리 주체를 바꿔 낸다.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
사용자 스토리	User Story	사용자 관점에서 요구 기능을 짧은 문장으로 서술한 요구사항 단위	누가, 무엇을, 왜 형식으로 적는다. 제품 백로그의 항목이 된다.	「회원으로서 주문 내역을 보고 싶다, 재구매하기 위해」 형식으로 요구를 적는다.	누가 · 무엇을 · 왜.	제품 백로그 / 스프린트 백로그	애자일 산출물 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
칸반	Kanban	작업을 카드로 시각화하고 진행 중 작업 수를 제한해 흐름을 최적화하는 방법	린 방식에서 유래했다. 스크럼과 달리 고정된 스프린트 주기가 없다.	To Do / In Progress / Done 보드에 카드를 붙이고 In Progress 는 3장까지만 허용한다.	보드에 붙이고 동시 작업 수를 제한한다.	린 / 스크럼	애자일 방법론 종류 나열형.	1-4 애자일 방법론 (1과목)	유형_용어 과목1 챕터_1_4
자료 흐름도	Data Flow Diagram, DFD	자료가 시스템 내부를 흐르며 어떻게 변환되는지 그림으로 표현한 모델	구성 요소는 프로세스(원), 자료 흐름(화살표), 자료 저장소(평행선), 단말(사각형)이다. 버블 차트라고도 한다.	「주문서 → (주문처리) → 주문DB」처럼 자료가 어디서 어떻게 변하는지 그린다.	프로세스는 원, 저장소는 평행선, 단말은 사각형.	자료 사전 / 소단위 명세서 / 활동 다이어그램	네 가지 구성 요소와 기호를 바꿔 낸다. 프로세스는 원이다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
자료 사전	Data Dictionary, DD	자료 흐름도에 나타난 자료를 정의하고 기록한 사전	기호는 = 정의, + 연결(and), () 생략, {} 반복, [|] 선택, ** 주석이다. 이 기호 대응이 그대로 출제된다.	주문 = 주문번호 + 회원번호 + {주문상세} + [카드|계좌] 처럼 자료를 정의한다.	{ }는 반복, [ | ]는 선택, ( )는 생략.	자료 흐름도 / 데이터 사전	기호와 의미를 바꿔 낸다. {}는 반복, []는 선택.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
소단위 명세서	Mini-Spec	자료 흐름도의 최하위 프로세스가 무엇을 하는지 상세히 기술한 문서	프로세스 명세서라고도 한다. 구조적 언어, 의사결정표, 의사결정도로 작성한다.	자료 흐름도 맨 아래 「할인 계산」 프로세스가 무엇을 하는지 의사코드로 적는다.	DFD 최하위 버블의 설명서.	자료 흐름도 / 의사결정표	구조적 분석 도구 나열형.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
개체 관계도	Entity Relationship Diagram, ERD	개체와 개체 간 관계를 표현한 구조적 분석 도구	데이터베이스 설계의 E-R 다이어그램과 같은 표기를 쓴다. 개체는 사각형, 관계는 마름모, 속성은 타원이다.	「회원 — 주문 — 상품」을 사각형·마름모로 이어 데이터 구조를 잡는다.	개체는 사각형, 관계는 마름모, 속성은 타원.	E-R 모델 / 자료 흐름도	기호 대응을 묻는다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
상태 전이도	State Transition Diagram, STD	시스템이 사건에 따라 어떤 상태로 옮겨가는지 표현한 도구	실시간 시스템 분석에 유용하다. UML의 상태 다이어그램과 목적이 같다.	엘리베이터가 「정지 → 상승 → 정지 → 하강」으로 옮겨 다니는 것을 그린다.	실시간 시스템 분석의 단골 도구.	상태 다이어그램 / 자료 흐름도	구조적 분석 도구 나열형.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
HIPO	Hierarchy Input Process Output	시스템의 입력·처리·출력을 계층적으로 나타낸 하향식 설계 도구	가시적 도표(도식 목차), 총체적 도표(개요 도표), 세부적 도표(상세 도표) 세 가지로 구성된다. 문서화 및 유지보수가 쉽다.	시스템 기능을 「1. 주문 / 1.1 접수 / 1.2 취소」처럼 계층 목차로 정리한다.	가시적·총체적·세부적 세 도표.	N-S 차트 / 자료 흐름도	세 가지 도표 종류를 묻는다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
N-S 차트	Nassi-Schneiderman Chart	논리의 기술에 중점을 둔 도형식 프로그램 설계 표기법	화살표나 GOTO를 사용하지 않고 연속·반복·선택 구조를 사각형 박스로만 표현한다. 3가지 제어 구조만 사용한다.	화살표 없이 사각형만으로 「반복 안에 조건」 구조를 표현한다.	GOTO 금지. 박스만으로 논리를 표현.	HIPO / 순서도	GOTO를 쓰지 않는다는 특징을 묻는다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
요구사항 관리 도구	Requirements Management Tool	요구사항의 변경 이력과 추적성을 관리하는 도구	JIRA, Redmine, DOORS, Trello 등이 예시다. 요구사항 추적표(Traceability Matrix)를 관리한다.	Jira 에 요구사항 티켓을 만들고 변경 이력과 연결된 개발 티켓을 추적한다.	요구사항의 변경 이력과 추적성 관리.	형상 관리 도구 / 협업 도구	도구 이름과 용도를 바꿔 낸다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
의사결정표	Decision Table	조건과 그에 따른 행위를 표로 정리한 명세 도구	소단위 명세서 작성과 블랙박스 테스트(결정 테이블 테스트)에 함께 쓴다.	「회원등급 × 결제수단」 조합별로 할인율을 표로 정리해 빠짐없이 확인한다.	조건 조합을 표로 만들어 누락을 없앤다.	소단위 명세서 / 결정 테이블 테스트	구조적 분석 도구 나열형.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
순서도	Flowchart	처리 흐름을 도형과 화살표로 표현한 도구	화살표와 GOTO를 사용한다. N-S 차트는 화살표를 쓰지 않는 점이 다르다.	시작 → 조건 판단(다이아몬드) → 처리 → 종료를 화살표로 잇는 전통 도구.	화살표를 쓰면 순서도, 안 쓰면 N-S 차트.	N-S 차트 / 활동 다이어그램	N-S 차트와의 차이를 묻는다.	1-5 분석 모델 · 구조적 분석 도구 (1과목)	유형_용어 과목1 챕터_1_5
CLI	Command Line Interface	명령과 결과를 텍스트로 주고받는 사용자 인터페이스	명령어를 외워야 하므로 학습이 어렵지만 자원을 적게 쓰고 자동화에 강하다.	서버에서 git commit, docker ps 처럼 명령을 타이핑해 결과를 글자로 받는다.	Command Line — 글자만 오간다.	GUI / NUI / OUI / VUI	UI 유형 5종 나열형.	1-6 UI 설계 (1과목)	유형_용어 과목1 챕터_1_6
GUI	Graphical User Interface	아이콘·메뉴를 마우스로 선택해 조작하는 그래픽 인터페이스	시각적 표현으로 학습이 쉽다. 자원 소모가 CLI보다 크다.	윈도우 탐색기에서 파일을 마우스로 끌어다 옮긴다.	Graphical — 아이콘과 마우스.	CLI / NUI	UI 유형 5종 나열형.	1-6 UI 설계 (1과목)	유형_용어 과목1 챕터_1_6
NUI	Natural User Interface	사용자의 말이나 행동(제스처)으로 기기를 조작하는 인터페이스	모바일 제스처에는 Tap, Double Tap, Drag, Pan, Press, Flick, Pinch가 있다. Flow는 제스처가 아니다.	아이폰에서 두 손가락으로 사진을 확대(Pinch)하고 옆으로 튕겨(Flick) 넘긴다.	Natural — 말과 몸짓. Flow는 없는 제스처.	제스처 / VUI / GUI	존재하지 않는 제스처(Flow 등)를 끼워 넣어 고르게 한다.	1-6 UI 설계 (1과목)	유형_용어 과목1 챕터_1_6 오답노트출처
제스처	Gesture	NUI에서 손가락 동작으로 명령을 전달하는 방식	Tap 가볍게 누름, Double Tap 두 번, Drag 눌러 끌기, Pan 화면 밀기, Press 길게 누름, Flick 튕김, Pinch 오므리기·펼치기.	카톡에서 대화방을 길게 눌러(Press) 메뉴를 띄우고, 밀어서(Pan) 목록을 넘긴다.	손가락으로 실제 할 수 있는 동작만 제스처다.	NUI / OUI	실재하는 제스처(Flick)와 없는 것(Flow)을 구별하게 한다.	1-6 UI 설계 (1과목)	유형_용어 과목1 챕터_1_6 오답노트출처
OUI	Organic User Interface	모든 사물이 입출력 장치가 되는 유기적 인터페이스	현실에 존재하는 모든 것이 인터페이스가 되며, 사용자 입력과 출력의 경계가 사라진다.	옷·책상 같은 사물 자체가 화면이자 입력 장치가 되는 형태.	Organic — 사물이 곧 인터페이스.	NUI / VUI	UI 유형 중 유기적이라는 단어와 짝짓기.	1-6 UI 설계 (1과목)	유형_용어 과목1 챕터_1_6
